,date,open,high,low,close,volume,average,barCount
0,2020-06-19,88.64,89.14,86.29,87.43,149979992.0,87.72725,192405
1,2020-06-22,87.85,89.86,87.79,89.72,100898184.0,89.103,121428
2,2020-06-23,90.98,93.1,90.57,91.63,164313556.0,91.96175,188119
3,2020-06-24,91.26,92.2,89.63,90.02,146757504.0,90.6075,172973
4,2020-06-25,90.19,91.25,89.39,91.21,104189012.0,90.428,127611
5,2020-06-26,91.11,91.33,88.26,88.41,132019512.0,89.519,164141
6,2020-06-29,88.33,90.55,87.82,90.45,94260796.0,89.5935,120259
7,2020-06-30,90.02,91.5,90.0,91.2,92179264.0,90.92975,117332
8,2020-07-01,91.26,91.84,90.98,91.03,81112620.0,91.46375,105168
9,2020-07-02,91.95,92.62,90.91,91.03,80835204.0,91.84925,100996
10,2020-07-06,92.5,93.95,92.47,93.46,83141684.0,93.34425,104486
11,2020-07-07,93.87,94.66,93.06,93.17,77791224.0,94.03475,98613
12,2020-07-08,94.19,95.38,94.09,95.34,82548580.0,94.83725,100876
13,2020-07-09,96.26,96.32,94.67,95.68,90951184.0,95.60225,112636
14,2020-07-10,95.23,95.98,94.71,95.92,62820576.0,95.40525,81482
15,2020-07-13,97.28,99.96,95.26,95.48,138595476.0,98.1795,167403
16,2020-07-14,94.83,97.26,93.88,97.06,117112700.0,95.73775,148914
17,2020-07-15,99.0,99.25,96.49,97.73,113107792.0,97.7785,137849
18,2020-07-16,96.53,97.41,95.91,96.52,78651564.0,96.467,101947
19,2020-07-17,96.9,97.15,95.84,96.33,63295540.0,96.50525,80306
20,2020-07-20,96.4,98.5,96.06,98.36,62180472.0,97.35425,83848
21,2020-07-21,99.17,99.25,96.74,97.0,72578796.0,97.87225,91559
22,2020-07-22,96.67,97.98,96.6,97.27,59147512.0,97.16325,79183
23,2020-07-23,97.0,97.08,92.01,92.85,134914128.0,94.12,178539
24,2020-07-24,90.95,92.97,89.16,92.61,135107576.0,91.57875,171252
25,2020-07-27,93.72,94.91,93.48,94.81,85598640.0,94.34325,108472
26,2020-07-28,94.27,94.55,93.25,93.25,64783708.0,93.8455,83363
27,2020-07-29,93.75,95.23,93.71,95.04,64116252.0,94.5495,79270
28,2020-07-30,94.19,96.3,93.77,96.19,90395252.0,95.28925,117605
29,2020-07-31,102.88,106.42,100.83,106.26,269379752.0,103.3415,329900
30,2020-08-03,108.31,111.64,107.89,108.94,229190008.0,109.71925,270268
31,2020-08-04,109.11,110.79,108.39,109.67,129587612.0,109.67275,152795
32,2020-08-05,109.4,110.39,108.9,110.06,85987684.0,109.63425,102073
33,2020-08-06,110.41,114.41,109.8,113.9,152042656.0,112.43925,165904
34,2020-08-07,113.19,113.67,110.29,111.11,138448972.0,112.0215,170963
35,2020-08-10,112.57,113.78,110.0,112.73,160479320.0,112.305,187141
36,2020-08-11,111.92,112.48,109.11,109.38,118239320.0,111.073,154412
37,2020-08-12,110.44,113.28,110.3,113.01,121743012.0,112.2285,145085
38,2020-08-13,114.44,116.04,113.93,115.01,155006908.0,114.9965,177331
39,2020-08-14,114.74,115.0,113.05,114.91,121260388.0,114.12925,146328
40,2020-08-17,116.04,116.09,113.96,114.61,79238988.0,114.85925,96650
41,2020-08-18,114.35,116.0,114.01,115.56,74222736.0,115.21325,91083
42,2020-08-19,115.99,117.16,115.61,115.71,104031276.0,116.47875,122074
43,2020-08-20,115.76,118.39,115.73,118.28,89142464.0,117.3265,109713
44,2020-08-21,119.24,124.87,119.24,124.37,252771112.0,122.65075,307801
45,2020-08-24,128.7,128.79,123.94,125.86,244685200.0,126.30125,292003
46,2020-08-25,124.69,125.18,123.05,124.83,155346908.0,124.15025,192467
47,2020-08-26,126.2,126.99,125.08,126.52,113078104.0,126.0595,143317
48,2020-08-27,127.13,127.49,123.83,125.01,106932780.0,125.6975,138397
49,2020-08-28,126.02,126.44,124.58,124.81,115643884.0,125.43325,155151
50,2020-08-31,127.61,131.0,126.0,129.04,162939208.0,129.056,700254
51,2020-09-01,132.79,134.8,130.53,134.18,116486233.0,132.815,451368
52,2020-09-02,137.6,137.97,127.0,131.4,153831702.0,131.496,623072
53,2020-09-03,126.94,128.84,120.5,120.88,188220638.0,123.712,777446
54,2020-09-04,120.14,123.7,110.89,120.96,258992035.0,117.789,1142139
55,2020-09-08,114.28,118.99,112.68,112.82,177778118.0,115.654,761468
56,2020-09-09,117.32,119.14,115.26,117.32,133929781.0,117.47,532777
57,2020-09-10,120.44,120.5,112.5,113.49,144981943.0,116.162,560545
58,2020-09-11,114.61,115.23,110.0,112.0,146557763.0,112.003,565998
59,2020-09-14,114.72,115.93,112.8,115.36,107834275.0,114.507,423569
60,2020-09-15,118.39,118.83,113.61,115.54,149435835.0,116.453,533826
61,2020-09-16,115.17,116.0,112.04,112.13,119109838.0,113.694,487148
62,2020-09-17,109.73,112.2,108.71,110.34,138758112.0,110.136,546442
63,2020-09-18,110.38,110.88,106.09,106.84,182131455.0,108.108,667469
64,2020-09-21,104.52,110.19,103.1,110.08,158793708.0,106.83,594599
65,2020-09-22,112.68,112.86,109.16,111.81,151939875.0,110.898,565256
66,2020-09-23,111.63,112.11,106.77,107.12,117118328.0,109.352,454936
67,2020-09-24,105.19,110.25,105.0,108.22,138162406.0,108.649,506501
68,2020-09-25,108.51,112.44,107.67,112.28,123192726.0,110.548,452625
69,2020-09-28,114.91,115.32,112.78,114.96,111826595.0,113.935,430610
70,2020-09-29,114.51,115.31,113.57,114.09,83437900.0,114.218,296928
71,2020-09-30,113.63,117.26,113.62,115.81,111789070.0,116.001,404927
72,2020-10-01,117.7,117.72,115.83,116.79,91962626.0,116.546,329966
73,2020-10-02,112.84,115.37,112.22,113.02,115551883.0,113.97,430034
74,2020-10-05,113.92,116.65,113.55,116.5,84228666.0,115.362,298703
75,2020-10-06,115.68,116.12,112.25,113.16,132067590.0,114.536,495292
76,2020-10-07,114.65,115.55,114.13,115.08,78305586.0,114.92,274892
77,2020-10-08,116.25,116.4,114.59,114.97,68908078.0,115.272,249262
78,2020-10-09,115.23,117.0,114.92,116.97,81140482.0,116.155,317791
79,2020-10-12,120.06,125.18,119.28,124.4,195598784.0,122.963,673680
80,2020-10-13,125.31,125.39,119.65,121.1,219691931.0,122.399,812438
81,2020-10-14,120.99,123.03,119.62,121.19,128494021.0,121.319,437056
82,2020-10-15,118.78,121.2,118.15,120.71,92645657.0,120.082,329964
83,2020-10-16,121.25,121.55,118.81,119.02,91742228.0,120.23,318514
84,2020-10-19,119.96,120.42,115.66,115.98,100110637.0,118.212,357779
85,2020-10-20,116.21,118.98,115.63,117.51,103715990.0,117.441,354242
86,2020-10-21,116.59,118.71,116.45,116.87,73583261.0,117.561,273003
87,2020-10-22,117.43,118.04,114.83,115.75,85312936.0,115.977,315201
88,2020-10-23,116.36,116.55,114.28,115.04,67961418.0,114.969,263774
89,2020-10-26,114.03,116.55,112.88,115.05,90344025.0,114.587,352253
90,2020-10-27,115.5,117.28,114.53,116.6,76005035.0,116.301,292258
91,2020-10-28,115.04,115.43,111.1,111.2,106963385.0,112.723,420001
92,2020-10-29,112.36,116.93,112.2,115.32,102207893.0,115.152,412475
93,2020-10-30,111.04,111.99,107.72,108.86,148717959.0,109.091,598881
94,2020-11-02,109.14,110.68,107.32,108.77,100210186.0,108.6,393716
95,2020-11-03,109.66,111.49,108.73,110.44,89184884.0,110.467,328449
96,2020-11-04,114.09,115.59,112.35,114.95,110103928.0,114.597,436587
97,2020-11-05,117.93,119.62,116.86,119.03,100581540.0,118.439,377347
98,2020-11-06,118.3,119.2,116.13,118.69,83742439.0,118.064,327982
99,2020-11-09,120.5,121.99,116.05,116.32,116001607.0,119.788,485539
100,2020-11-10,115.56,117.59,114.13,115.97,107926503.0,116.385,423371
101,2020-11-11,117.19,119.63,116.44,119.49,83101391.0,118.562,327683
102,2020-11-12,119.71,120.53,118.57,119.21,87206963.0,119.507,323571
103,2020-11-13,119.45,119.68,117.87,119.26,64506287.0,118.758,249494
104,2020-11-16,118.88,120.99,118.14,120.3,69438553.0,120.093,278060
105,2020-11-17,119.53,120.68,118.96,119.39,57594198.0,119.946,233898
106,2020-11-18,118.61,119.82,118.0,118.03,57289753.0,119.054,234229
107,2020-11-19,117.67,119.06,116.81,118.64,57905840.0,117.974,241475
108,2020-11-20,118.64,118.77,117.29,117.34,55882694.0,118.067,224552
109,2020-11-23,117.19,117.63,113.75,113.85,101417129.0,115.044,410764
110,2020-11-24,113.91,115.85,112.59,115.17,91087677.0,114.483,362837
111,2020-11-25,115.54,116.75,115.17,116.03,61031480.0,116.111,236773
112,2020-11-27,116.57,117.49,116.22,116.59,38173985.0,116.874,152653
113,2020-11-30,116.94,120.97,116.81,119.05,114161054.0,119.173,461546
114,2020-12-01,121.03,123.47,120.01,122.72,99980593.0,122.444,406644
115,2020-12-02,122.03,123.37,120.89,123.08,67159550.0,122.485,261031
116,2020-12-03,123.52,123.78,122.21,122.94,60281661.0,122.967,236482
117,2020-12-04,122.55,122.87,121.52,122.25,56847349.0,122.036,226565
118,2020-12-07,122.38,124.57,122.22,123.75,64876449.0,123.872,253105
119,2020-12-08,124.37,124.98,123.09,124.38,62210972.0,124.162,253679
120,2020-12-09,124.51,125.95,121.0,121.78,86484686.0,123.506,357369
